,precision,recall,f1-score,support
EELV,0.6979166666666666,0.48201438848920863,0.5702127659574469,139.0
LFI,0.6440677966101694,0.5428571428571428,0.5891472868217055,140.0
LR,0.47804878048780486,0.7,0.5681159420289855,140.0
PCF,0.5466666666666666,0.5899280575539568,0.5674740484429066,139.0
PS,0.6190476190476191,0.5611510791366906,0.5886792452830188,139.0
RN,0.5588235294117647,0.6785714285714286,0.6129032258064516,140.0
Reconquête,0.6870229007633588,0.6474820143884892,0.6666666666666666,139.0
Renaissance,0.7058823529411765,0.60431654676259,0.6511627906976745,139.0
accuracy,0.600896860986547,0.600896860986547,0.600896860986547,0.600896860986547
macro avg,0.6171845390744034,0.6007900822199383,0.601795246463107,1115.0
weighted avg,0.6170315224728666,0.600896860986547,0.6017636596606566,1115.0
