,precision,recall,f1-score,support
EELV,0.825,0.75,0.7857142857142857,44.0
LFI,0.6444444444444445,0.6590909090909091,0.651685393258427,44.0
LR,0.78,0.8666666666666667,0.8210526315789474,45.0
PCF,0.6666666666666666,0.6818181818181818,0.6741573033707865,44.0
PS,0.75,0.7333333333333333,0.7415730337078652,45.0
RN,0.6326530612244898,0.7045454545454546,0.6666666666666666,44.0
Reconquête,0.8333333333333334,0.7954545454545454,0.813953488372093,44.0
Renaissance,0.9,0.8,0.8470588235294118,45.0
accuracy,0.7492957746478873,0.7492957746478873,0.7492957746478873,0.7492957746478873
macro avg,0.7540121882086168,0.7488636363636363,0.7502327032748104,355.0
weighted avg,0.7544853246462905,0.7492957746478873,0.7506805522297169,355.0
