,precision,recall,f1-score,support
EELV,0.6770833333333334,0.4676258992805755,0.5531914893617021,139.0
LFI,0.632,0.5642857142857143,0.5962264150943396,140.0
LR,0.4696969696969697,0.6642857142857143,0.5502958579881657,140.0
PCF,0.5675675675675675,0.60431654676259,0.5853658536585366,139.0
PS,0.5916666666666667,0.5107913669064749,0.5482625482625483,139.0
RN,0.5,0.6785714285714286,0.5757575757575758,140.0
Reconquête,0.7209302325581395,0.6690647482014388,0.6940298507462687,139.0
Renaissance,0.7155963302752294,0.5611510791366906,0.6290322580645161,139.0
accuracy,0.590134529147982,0.590134529147982,0.590134529147982,0.590134529147982
macro avg,0.6093176375122383,0.5900115621788284,0.5915202311167067,1115.0
weighted avg,0.6091147173841309,0.590134529147982,0.5914733424669218,1115.0
