,precision,recall,f1-score,support
EELV,0.7205882352941176,0.5355191256830601,0.6144200626959248,183.0
LFI,0.6235294117647059,0.5760869565217391,0.5988700564971752,184.0
LR,0.5344129554655871,0.7135135135135136,0.6111111111111112,185.0
PCF,0.5824742268041238,0.6174863387978142,0.5994694960212201,183.0
PS,0.6257668711656442,0.5543478260869565,0.5878962536023055,184.0
RN,0.5252100840336135,0.6793478260869565,0.5924170616113744,184.0
Reconquête,0.7543859649122807,0.7049180327868853,0.7288135593220338,183.0
Renaissance,0.7615894039735099,0.625,0.6865671641791045,184.0
accuracy,0.6258503401360545,0.6258503401360545,0.6258503401360545,0.6258503401360545
macro avg,0.6409946441766978,0.6257774524346157,0.6274455956300312,1470.0
weighted avg,0.6408306671813294,0.6258503401360545,0.6273934182044066,1470.0
